plan_id,priority,run_order,geometry,port_diameter_mm,schedule,injection_temp_c,flow_mm3_s,target_volume_mm3,fill_ratio,planned_commanded_volume_mm3,start_z_mm,end_z_mm,plunge_mm,dwell_s,target_gcode_file,primary_metric,expected_failure_label,photo_top_required,photo_side_required,photo_section_required,purpose
P001,core,1,10 mm open cup,3,top-pour,240,10,550,1.0,550,12,12,2,1,planned/p001_240c_10mm3s_top_pour.gcode,bottom fill depth,freezing,yes,yes,no,Low-temperature low-flow baseline likely to reveal premature freezing.
P002,core,2,10 mm open cup,3,top-pour,255,10,550,1.0,550,12,12,2,1,planned/p002_255c_10mm3s_top_pour.gcode,bottom fill depth,freezing,yes,yes,no,Mid-temperature low-flow trial tests whether temperature alone improves bottom fill.
P003,core,3,10 mm open cup,3,top-pour,275,10,550,1.0,550,12,12,2,1,planned/p003_275c_10mm3s_top_pour.gcode,mold softening,softening,yes,yes,no,High-temperature low-flow trial checks thermal margin and mold softening.
P004,core,4,10 mm open cup,3,top-pour,240,20,550,1.0,550,12,12,2,1,planned/p004_240c_20mm3s_top_pour.gcode,delivered mass,freezing,yes,yes,no,Low-temperature mid-flow trial separates flow-rate benefit from low thermal authority.
P005,core,5,10 mm open cup,3,top-pour,255,20,550,1.0,550,12,12,2,1,planned/p005_255c_20mm3s_top_pour.gcode,visible fill depth,candidate window,yes,yes,yes,Center-point trial is the first candidate success case and should be sectioned if it fills.
P006,core,6,10 mm open cup,3,top-pour,275,20,550,1.0,550,12,12,2,1,planned/p006_275c_20mm3s_top_pour.gcode,leakage score,leakage or softening,yes,yes,no,High-temperature mid-flow trial checks whether improved fill causes leakage or mold deformation.
P007,core,7,10 mm open cup,3,top-pour,240,30,550,1.0,550,12,12,2,1,planned/p007_240c_30mm3s_top_pour.gcode,flow limit,flow limit,yes,yes,no,Low-temperature high-flow trial tests under-melted extrusion or firmware flow limiting.
P008,core,8,10 mm open cup,3,top-pour,255,30,550,1.0,550,12,12,2,1,planned/p008_255c_30mm3s_top_pour.gcode,delivered mass,flow limit,yes,yes,no,Mid-temperature high-flow trial tests practical melt-delivery limit.
P009,core,9,10 mm open cup,3,top-pour,275,30,550,1.0,550,12,12,2,1,planned/p009_275c_30mm3s_top_pour.gcode,leakage score,leakage or softening,yes,yes,yes,High-temperature high-flow trial should expose upper-bound leakage or softening and should be sectioned if retained.
P010,followup,10,10 mm open cup,3,rising-Z,255,20,550,1.0,550,3,12,2,1,planned/p010_255c_20mm3s_rising_z.gcode,void fraction,trapped air,yes,yes,yes,Rising-Z follow-up only after collision clearance is verified.
